locations,rate_fire,rate_ems,rate_enroute,stdev_enroute
125,1.9556618254811665e-06,1.9556618254811665e-06,0,0
126,8.7082300153501e-06,8.7082300153501e-06,0,0
127,3.1425886566694215e-05,3.1425886566694215e-05,0,0
128,2.929802810249144e-05,2.929802810249144e-05,0,0
129,8.376136497815562e-05,8.376136497815562e-05,0,0
130,6.854656197111033e-05,6.854656197111033e-05,0,0
131,9.315838154839217e-05,9.315838154839217e-05,0,0
132,5.9826032195851534e-05,5.9826032195851534e-05,0,0
133,0.0001258511433856811,0.0001258511433856811,0,0
134,4.135179281300429e-05,4.135179281300429e-05,0,0
135,2.3049750068878657e-05,2.3049750068878657e-05,0,0
136,5.028141850671075e-05,5.028141850671075e-05,0,0
137,4.7144979729995673e-05,4.7144979729995673e-05,0,0
138,3.1979375762585115e-07,3.1979375762585115e-07,0,0
139,0.0,0.0,0,0
140,2.937182666194356e-05,2.937182666194356e-05,0,0
141,1.4993407328688943e-05,1.4993407328688943e-05,0,0
142,3.1794879363954816e-05,3.1794879363954816e-05,0,0
143,6.641870350690754e-07,6.641870350690754e-07,0,0
144,3.849824851418901e-06,3.849824851418901e-06,0,0
145,2.3738536623765105e-06,2.3738536623765105e-06,0,0
146,1.0098102885031683e-05,1.0098102885031683e-05,0,0
147,7.638150903294367e-06,7.638150903294367e-06,0,0
148,9.384716810327863e-06,9.384716810327863e-06,0,0
149,4.83134569213209e-05,4.83134569213209e-05,0,0
150,3.739127012240721e-05,3.739127012240721e-05,0,0
151,4.236037312551659e-05,4.236037312551659e-05,0,0
152,7.335576809540678e-05,7.335576809540678e-05,0,0
153,7.424135080883222e-05,7.424135080883222e-05,0,0
154,2.212726807572716e-05,2.212726807572716e-05,0,0
155,1.1131282717361356e-05,1.1131282717361356e-05,0,0
156,6.469673711969142e-05,6.469673711969142e-05,0,0
157,1.0024304325579564e-05,1.0024304325579564e-05,0,0
158,5.534891958908962e-07,5.534891958908962e-07,0,0
159,0.0,0.0,0,0
160,0.0,0.0,0,0
161,1.662927539654426e-05,1.662927539654426e-05,0,0
162,3.911323650962333e-06,3.911323650962333e-06,0,0
163,2.619848860550242e-06,2.619848860550242e-06,0,0
164,4.022021490140512e-06,4.022021490140512e-06,0,0
165,1.0749990160192073e-05,1.0749990160192073e-05,0,0
166,1.771165426850868e-06,1.771165426850868e-06,0,0
167,8.16704057936789e-06,8.16704057936789e-06,0,0
168,4.655459125437872e-05,4.655459125437872e-05,0,0
169,5.218788129255717e-05,5.218788129255717e-05,0,0
170,8.730369583185736e-05,8.730369583185736e-05,0,0
171,4.548451214232298e-05,4.548451214232298e-05,0,0
172,1.4587515251702286e-05,1.4587515251702286e-05,0,0
173,4.445133230999331e-05,4.445133230999331e-05,0,0
174,4.103199905537844e-05,4.103199905537844e-05,0,0
175,4.092130121620026e-05,4.092130121620026e-05,0,0
176,5.698478765694494e-05,5.698478765694494e-05,0,0
177,1.3013145983390404e-05,1.3013145983390404e-05,0,0
178,1.734266147124808e-05,1.734266147124808e-05,0,0
179,2.8781438186326603e-06,2.8781438186326603e-06,0,0
180,3.739127012240721e-06,3.739127012240721e-06,0,0
181,2.300055102924391e-06,2.300055102924391e-06,0,0
182,2.300055102924391e-06,2.300055102924391e-06,0,0
183,1.0872987759278938e-05,1.0872987759278938e-05,0,0
184,1.464901405124572e-05,1.464901405124572e-05,0,0
185,4.058920769866572e-06,4.058920769866572e-06,0,0
186,2.354174046522612e-05,2.354174046522612e-05,0,0
187,1.717046483252647e-05,1.717046483252647e-05,0,0
188,0.0001030350887550675,0.0001030350887550675,0,0
189,5.517672295036801e-05,5.517672295036801e-05,0,0
190,2.6026291966780808e-05,2.6026291966780808e-05,0,0
191,1.3726532058094226e-05,1.3726532058094226e-05,0,0
192,2.127858464202779e-05,2.127858464202779e-05,0,0
193,1.726886291179596e-05,1.726886291179596e-05,0,0
194,2.2336363994174832e-05,2.2336363994174832e-05,0,0
195,2.2840654150430985e-05,2.2840654150430985e-05,0,0
196,1.3197642382020703e-05,1.3197642382020703e-05,0,0
197,2.911353170386114e-05,2.911353170386114e-05,0,0
198,3.320935175345377e-07,3.320935175345377e-07,0,0
199,5.424194119730783e-06,5.424194119730783e-06,0,0
200,2.2139567835635847e-06,2.2139567835635847e-06,0,0
201,4.489412366670603e-06,4.489412366670603e-06,0,0
202,1.2041464950604165e-05,1.2041464950604165e-05,0,0
203,1.541159916558429e-05,1.541159916558429e-05,0,0
204,8.16704057936789e-06,8.16704057936789e-06,0,0
205,1.0307198803479356e-05,1.0307198803479356e-05,0,0
206,8.572932656354548e-06,8.572932656354548e-06,0,0
207,7.222419018380762e-05,7.222419018380762e-05,0,0
208,6.039182115165112e-05,6.039182115165112e-05,0,0
209,2.2643857991891998e-05,2.2643857991891998e-05,0,0
210,1.35666351792813e-05,1.35666351792813e-05,0,0
211,5.83008619671744e-06,5.83008619671744e-06,0,0
212,1.9519718975085607e-05,1.9519718975085607e-05,0,0
213,7.330656905577203e-06,7.330656905577203e-06,0,0
214,1.177087023261306e-05,1.177087023261306e-05,0,0
215,1.407092533553745e-05,1.407092533553745e-05,0,0
216,3.566930373519109e-07,3.566930373519109e-07,0,0
217,3.530031093793049e-06,3.530031093793049e-06,0,0
218,9.766009367497146e-06,9.766009367497146e-06,0,0
219,2.3049750068878657e-05,2.3049750068878657e-05,0,0
220,5.805486676900067e-06,5.805486676900067e-06,0,0
221,2.098339040421931e-05,2.098339040421931e-05,0,0
222,1.5128704687684496e-06,1.5128704687684496e-06,0,0
223,2.275455583107018e-06,2.275455583107018e-06,0,0
224,2.014700673042862e-05,2.014700673042862e-05,0,0
225,4.408233951273271e-05,4.408233951273271e-05,0,0
226,1.8904730979651277e-05,1.8904730979651277e-05,0,0
227,8.27773841854607e-06,8.27773841854607e-06,0,0
228,1.3443637580194435e-05,1.3443637580194435e-05,0,0
229,1.8978529539103397e-05,1.8978529539103397e-05,0,0
230,7.933345141102845e-06,7.933345141102845e-06,0,0
231,6.986263628133979e-06,6.986263628133979e-06,0,0
232,3.972822450505766e-06,3.972822450505766e-06,0,0
233,2.9273428582674068e-06,2.9273428582674068e-06,0,0
234,2.162297791947101e-05,2.162297791947101e-05,0,0
235,6.629570590782068e-06,6.629570590782068e-06,0,0
236,9.421616090053922e-06,9.421616090053922e-06,0,0
237,1.4390719093163301e-06,1.4390719093163301e-06,0,0
238,5.28889676073523e-07,5.28889676073523e-07,0,0
239,7.404455465029322e-06,7.404455465029322e-06,0,0
240,2.4599519817373166e-05,2.4599519817373166e-05,0,0
241,2.2237965914905342e-05,2.2237965914905342e-05,0,0
242,1.950741921517692e-05,1.950741921517692e-05,0,0
243,7.8841461014681e-06,7.8841461014681e-06,0,0
244,2.04422009682371e-05,2.04422009682371e-05,0,0
245,7.1707600267642775e-06,7.1707600267642775e-06,0,0
246,4.760007084661707e-06,4.760007084661707e-06,0,0
247,9.483114889597355e-06,9.483114889597355e-06,0,0
248,2.4771716456094776e-05,2.4771716456094776e-05,0,0
249,2.9888416578108395e-06,2.9888416578108395e-06,0,0
250,8.363836737906876e-07,8.363836737906876e-07,0,0
251,2.4599519817373166e-08,2.4599519817373166e-08,0,0
252,9.643011768410281e-06,9.643011768410281e-06,0,0
253,3.847364899437163e-05,3.847364899437163e-05,0,0
254,2.7686759554453498e-05,2.7686759554453498e-05,0,0
255,2.6862675640571497e-05,2.6862675640571497e-05,0,0
256,2.098339040421931e-05,2.098339040421931e-05,0,0
257,1.1008285118274492e-05,1.1008285118274492e-05,0,0
258,8.941925453615146e-06,8.941925453615146e-06,0,0
259,1.4304620773802495e-05,1.4304620773802495e-05,0,0
260,6.814066989412366e-06,6.814066989412366e-06,0,0
261,2.681347660093675e-06,2.681347660093675e-06,0,0
262,4.673908765300901e-07,4.673908765300901e-07,0,0
263,1.4710512850789152e-05,1.4710512850789152e-05,0,0
264,4.4180737592002206e-05,4.4180737592002206e-05,0,0
265,1.4907309009328138e-05,1.4907309009328138e-05,0,0
266,1.0233400244027237e-05,1.0233400244027237e-05,0,0
267,1.2299759908686583e-05,1.2299759908686583e-05,0,0
268,1.98026134529854e-06,1.98026134529854e-06,0,0
269,3.185637816349825e-06,3.185637816349825e-06,0,0
270,7.3183571456685165e-06,7.3183571456685165e-06,0,0
271,2.4599519817373166e-08,2.4599519817373166e-08,0,0
272,9.938206006218759e-06,9.938206006218759e-06,0,0
273,2.550970205061597e-05,2.550970205061597e-05,0,0
274,8.732829535167474e-06,8.732829535167474e-06,0,0
275,1.1032884638091864e-05,1.1032884638091864e-05,0,0
276,1.795764946668241e-06,1.795764946668241e-06,0,0
277,1.8818632660290472e-06,1.8818632660290472e-06,0,0
278,0.0,0.0,0,0
279,1.9064627858464202e-06,1.9064627858464202e-06,0,0
280,1.1451076474987209e-05,1.1451076474987209e-05,0,0
281,1.1057484157909237e-05,1.1057484157909237e-05,0,0
282,8.732829535167473e-07,8.732829535167473e-07,0,0
283,7.625851143385681e-07,7.625851143385681e-07,0,0
284,5.387294840004723e-06,5.387294840004723e-06,0,0
285,1.1205081276813476e-05,1.1205081276813476e-05,0,0
286,1.9064627858464202e-06,1.9064627858464202e-06,0,0
